# ----------------------------------------
# All Web Site Data
# Overview
# 20181001-20190429
# ----------------------------------------

Device Category,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
11/26/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$59.36,2.50%
11/27/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
11/27/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
11/27/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
11/28/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$29.68,0.87%
11/28/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
11/28/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$29.68,3.23%
11/29/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
11/29/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
11/29/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
11/30/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$83.08,1.61%
11/30/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
11/30/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$83.08,3.33%
12/1/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$83.08,1.03%
12/1/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
12/1/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$83.08,2.70%
12/2/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
12/2/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
12/2/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
12/3/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
12/3/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
12/3/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
12/4/18,"Oct 1, 2018 - Apr 29, 2019",All Users,"$1,648.97",3.61%
12/4/18,"Oct 1, 2018 - Apr 29, 2019",New Users,"$1,648.97",4.69%
12/4/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
12/5/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
12/5/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
12/5/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
12/6/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
12/6/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
12/6/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
12/7/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$296.14,2.50%
12/7/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
12/7/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$296.14,8.70%
12/8/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
12/8/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
12/8/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
12/9/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
12/9/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
12/9/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
12/10/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$79.24,2.13%
